Zip Code,Population
20601,22279
20602,21572
20603,20750
20606,427
20607,7069
20608,1015
20609,1098
20611,900
20612,197
20613,8266
20615,401
20616,4699
20617,723
20618,568
20619,6139
20620,1738
20621,1217
20622,3416
20623,2702
20624,878
20625,822
20626,430
20628,316
20629,573
20630,326
20632,519
20634,5129
20636,8064
20637,4418
20639,11526
20640,8273
20645,365
20646,16354
20650,10842
20653,19643
20657,18110
20658,913
20659,20992
20662,2664
20664,2716
20667,176
20670,2838
20674,887
20675,1807
20676,3170
20677,1855
20678,9239
20680,947
20684,1128
20685,5585
20687,329
20688,1210
20689,989
20690,618
20692,453
20693,593
20695,4830
20701,40
20705,22802
20706,37642
20707,25637
20708,25062
20710,7782
20711,6065
20712,9067
20714,4008
20715,25226
20716,19595
20720,14713
20721,22412
20722,5400
20723,24079
20724,13032
20732,8205
20733,2810
20735,32887
20736,6633
20737,19938
20740,31041
20743,41549
20744,48198
20745,27692
20746,28530
20747,39920
20748,40035
20751,2237
20754,6525
20755,9903
20758,797
20759,1684
20762,7925
20763,2438
20764,3921
20765,363
20769,4942
20770,21186
20772,35414
20774,32942
20776,3420
20777,3074
20778,1796
20779,1096
20781,11217
20782,28764
20783,43380
20784,27092
20785,39086
20794,15797
20812,239
20814,25269
20815,27916
20816,15231
20817,35105
20818,1987
20832,24314
20833,6359
20837,6045
20838,200
20839,115
20841,2025
20842,1848
20850,33557
20851,13038
20852,34956
20853,27768
20854,46255
20855,17251
20860,1251
20861,1767
20862,321
20866,11470
20868,274
20871,2762
20872,12086
20874,49224
20876,22233
20877,30129
20878,55177
20879,21980
20880,484
20882,12175
20886,32881
20895,18713
20896,598
20901,33793
20902,42503
20903,22679
20904,48901
20905,18098
20906,61097
20910,35588
20912,24498
21001,19248
21005,3116
21009,23511
21010,864
21012,21001
21013,3977
21014,33024
21015,23744
21017,6148
21028,2742
21029,7616
21030,23341
21031,59
21032,7965
21034,3449
21035,7369
21036,2134
21037,16309
21040,22350
21042,35522
21043,31694
21044,40251
21045,37519
21046,15074
21047,11223
21048,10345
21050,14951
21051,70
21052,365
21053,2848
21054,7159
21056,310
21057,4144
21060,27172
21061,50011
21071,424
21074,13166
21075,19449
21076,7907
21077,286
21078,15841
21082,897
21084,7467
21085,14730
21087,5361
21090,9722
21093,34480
21102,9489
21104,4061
21105,80
21108,17739
21111,5118
21113,20984
21114,24645
21117,41411
21120,6563
21122,57533
21128,6703
21130,128
21131,7661
21132,2528
21133,28526
21136,30155
21140,3417
21144,28561
21146,24895
21152,5098
21154,5690
21155,2349
21156,453
21157,34512
21158,18131
21160,2352
21161,5115
21162,2879
21163,3391
21201,15097
21202,23572
21204,20157
21205,18440
21206,50154
21207,47955
21208,31497
21209,23683
21210,11733
21211,16711
21212,35295
21213,38442
21214,21285
21215,66358
21216,36242
21217,41636
21218,55059
21219,9178
21220,36551
21221,42567
21222,54923
21223,31016
21224,48536
21225,31428
21226,6720
21227,33799
21228,48601
21229,49764
21230,33098
21231,15734
21234,69100
21236,37779
21237,25414
21239,28810
21244,31634
21286,18776
21401,50605
21402,5277
21403,29607
21405,585
21502,44053
21520,2048
21521,1349
21522,53
21523,284
21524,844
21528,177
21529,592
21530,1521
21531,2294
21532,14601
21536,3876
21538,848
21539,2853
21540,80
21541,1255
21542,473
21543,103
21545,2272
21550,14469
21555,1922
21557,2093
21560,14
21561,2608
21562,3407
21601,19245
21607,551
21610,516
21612,731
21613,16432
21617,6584
21619,5325
21620,11975
21622,519
21623,1712
21624,147
21625,2661
21626,187
21627,34
21628,454
21629,7861
21631,2233
21632,6236
21634,441
21635,1695
21636,1176
21638,3813
21639,3899
21640,1388
21641,180
21643,5203
21644,136
21645,1055
21647,526
21648,338
21649,1717
21650,299
21651,2174
21653,128
21654,1457
21655,4783
21657,680
21658,3862
21659,1530
21660,3497
21661,2841
21662,605
21663,3455
21664,503
21665,203
21666,11487
21667,253
21668,1827
21669,225
21671,833
21672,281
21673,3179
21675,164
21676,240
21677,411
21678,2265
21679,354
21701,32261
21702,30730
21703,26420
21704,4169
21710,2920
21711,1055
21713,12136
21716,4943
21717,68
21718,177
21719,1549
21722,5289
21723,424
21727,5548
21733,765
21734,905
21737,828
21738,2761
21740,55496
21742,25053
21750,3963
21754,5715
21755,5430
21756,2572
21757,3045
21758,4169
21762,206
21766,687
21767,1311
21769,9592
21770,5460
21771,25694
21773,4950
21774,8620
21776,5305
21777,1098
21778,1020
21779,718
21780,1671
21782,3985
21783,8138
21784,34997
21787,9063
21788,11025
21790,78
21791,5413
21793,9603
21794,1687
21795,8238
21797,7473
21798,1869
21801,27335
21804,31248
21810,38
21811,19476
21813,2300
21814,432
21817,5479
21821,1143
21822,1901
21824,279
21826,3704
21829,429
21830,3091
21835,473
21837,2514
21838,1900
21840,423
21841,803
21842,10147
21849,3076
21850,2632
21851,7274
21853,12093
21856,1059
21861,649
21862,82
21863,5123
21864,688
21865,248
21866,85
21867,118
21869,1039
21871,2093
21872,653
21874,2158
21875,5261
21901,12496
21902,192
21903,5082
21904,6680
21911,9048
21912,1101
21913,474
21914,740
21915,3070
21917,2005
21918,4045
21919,2555
21920,124
21921,38231
21930,108
